Site,Location,File,Date,Time,#Flowers,#Number,Insect,#Minutes,
c4.1,Loc1,c4.1_20170619_161200.jpg,20170619,1612,2,,,,
c4.1,Loc1,c4.1_20170619_161300.jpg,20170619,1613,2,,,,
c4.1,Loc1,c4.1_20170619_161400.jpg,20170619,1614,2,1,,1,
c4.1,Loc1,c4.1_20170619_161500.jpg,20170619,1615,2,,,,
c4.1,Loc1,c4.1_20170619_161600.jpg,20170619,1616,2,1,,3,
c4.1,Loc1,c4.1_20170619_161700.jpg,20170619,1617,2,1,,,
c4.1,Loc1,c4.1_20170619_161800.jpg,20170619,1618,2,1,,,
c4.1,Loc1,c4.1_20170619_161900.jpg,20170619,1619,2,,,,
c4.1,Loc1,c4.1_20170619_162000.jpg,20170619,1620,2,,,,
c4.1,Loc1,c4.1_20170619_162100.jpg,20170619,1621,2,,,,
c4.1,Loc1,c4.1_20170619_162200.jpg,20170619,1622,2,1,hymenoptera,2,
c4.1,Loc1,c4.1_20170619_162300.jpg,20170619,1623,2,1,hymenoptera,,
c4.1,Loc1,c4.1_20170619_162400.jpg,20170619,1624,2,,,,
c4.1,Loc1,c4.1_20170619_162500.jpg,20170619,1625,2,,,,
c4.1,Loc1,c4.1_20170619_162600.jpg,20170619,1626,2,,,,
c4.1,Loc1,c4.1_20170619_162700.jpg,20170619,1627,2,,,,
c4.1,Loc1,c4.1_20170619_162800.jpg,20170619,1628,2,,,,
c4.1,Loc1,c4.1_20170619_162900.jpg,20170619,1629,2,1,,10,
c4.1,Loc1,c4.1_20170619_163000.jpg,20170619,1630,2,1,,,
c4.1,Loc1,c4.1_20170619_163100.jpg,20170619,1631,2,1,,,
c4.1,Loc1,c4.1_20170619_163200.jpg,20170619,1632,2,1,,,
c4.1,Loc1,c4.1_20170619_163300.jpg,20170619,1633,2,1,,,
c4.1,Loc1,c4.1_20170619_163400.jpg,20170619,1634,2,1,,,
c4.1,Loc1,c4.1_20170619_163500.jpg,20170619,1635,2,1,,,
c4.1,Loc1,c4.1_20170619_163600.jpg,20170619,1636,2,1,,,
c4.1,Loc1,c4.1_20170619_163700.jpg,20170619,1637,2,1,,,
c4.1,Loc1,c4.1_20170619_163800.jpg,20170619,1638,2,1,,,
c4.1,Loc1,c4.1_20170619_163900.jpg,20170619,1639,2,,,,
c4.1,Loc1,c4.1_20170619_164000.jpg,20170619,1640,2,,,,
c4.1,Loc1,c4.1_20170619_164100.jpg,20170619,1641,2,1,coleoptera,1,
c4.1,Loc1,c4.1_20170619_164200.jpg,20170619,1642,2,,,,
c4.1,Loc1,c4.1_20170619_164300.jpg,20170619,1643,2,1,,1,
c4.1,Loc1,c4.1_20170619_164400.jpg,20170619,1644,2,,,,
c4.1,Loc1,c4.1_20170619_164500.jpg,20170619,1645,2,,,,
c4.1,Loc1,c4.1_20170619_164600.jpg,20170619,1646,2,,,,
c4.1,Loc1,c4.1_20170619_164700.jpg,20170619,1647,2,,,,
c4.1,Loc1,c4.1_20170619_164800.jpg,20170619,1648,2,,,,
c4.1,Loc1,c4.1_20170619_164900.jpg,20170619,1649,2,,,,
c4.1,Loc1,c4.1_20170619_165000.jpg,20170619,1650,2,,,,
c4.1,Loc1,c4.1_20170619_165100.jpg,20170619,1651,2,,,,
c4.1,Loc1,c4.1_20170619_165200.jpg,20170619,1652,2,,,,
c4.1,Loc1,c4.1_20170619_165300.jpg,20170619,1653,2,1,,1,
c4.1,Loc1,c4.1_20170619_165400.jpg,20170619,1654,2,,,,
c4.1,Loc1,c4.1_20170619_165500.jpg,20170619,1655,2,,,,
c4.1,Loc1,c4.1_20170619_165600.jpg,20170619,1656,2,,,,
c4.1,Loc1,c4.1_20170619_165700.jpg,20170619,1657,2,,,,
c4.1,Loc1,c4.1_20170619_165800.jpg,20170619,1658,2,,,,
c4.1,Loc1,c4.1_20170619_165900.jpg,20170619,1659,2,,,,
c4.1,Loc1,c4.1_20170619_170000.jpg,20170619,1700,2,,,,
c4.1,Loc1,c4.1_20170619_170100.jpg,20170619,1701,2,,,,
c4.1,Loc1,c4.1_20170619_170200.jpg,20170619,1702,2,,,,
c4.1,Loc1,c4.1_20170619_170300.jpg,20170619,1703,2,,,,
c4.1,Loc1,c4.1_20170619_170400.jpg,20170619,1704,2,,,,
c4.1,Loc1,c4.1_20170619_170500.jpg,20170619,1705,2,,,,
c4.1,Loc1,c4.1_20170619_170600.jpg,20170619,1706,2,,,,
c4.1,Loc1,c4.1_20170619_170700.jpg,20170619,1707,2,,,,
c4.1,Loc1,c4.1_20170619_170800.jpg,20170619,1708,2,,,,
c4.1,Loc1,c4.1_20170619_170900.jpg,20170619,1709,2,,,,
c4.1,Loc1,c4.1_20170619_171000.jpg,20170619,1710,2,1,,1,
c4.1,Loc1,c4.1_20170619_171100.jpg,20170619,1711,2,,,,
c4.1,Loc1,c4.1_20170619_171200.jpg,20170619,1712,2,,,,
c4.1,Loc1,c4.1_20170619_171300.jpg,20170619,1713,2,1,,2,
c4.1,Loc1,c4.1_20170619_171400.jpg,20170619,1714,2,1,,,
c4.1,Loc1,c4.1_20170619_171500.jpg,20170619,1715,2,,,,
c4.1,Loc1,c4.1_20170619_171600.jpg,20170619,1716,2,,,,
c4.1,Loc1,c4.1_20170619_171700.jpg,20170619,1717,2,1,,1,
c4.1,Loc1,c4.1_20170619_171800.jpg,20170619,1718,2,,,,
c4.1,Loc1,c4.1_20170619_171900.jpg,20170619,1719,2,,,,
c4.1,Loc1,c4.1_20170619_172000.jpg,20170619,1720,2,,,,
c4.1,Loc1,c4.1_20170619_172100.jpg,20170619,1721,2,,,,
c4.1,Loc1,c4.1_20170619_172200.jpg,20170619,1722,2,,,,
c4.1,Loc1,c4.1_20170619_172300.jpg,20170619,1723,2,,,,
c4.1,Loc1,c4.1_20170619_172400.jpg,20170619,1724,2,,,,
c4.1,Loc1,c4.1_20170619_172500.jpg,20170619,1725,2,,,,
c4.1,Loc1,c4.1_20170619_172600.jpg,20170619,1726,2,,,,
c4.1,Loc1,c4.1_20170619_172700.jpg,20170619,1727,2,,,,
c4.1,Loc1,c4.1_20170619_172800.jpg,20170619,1728,2,,,,
c4.1,Loc1,c4.1_20170619_172900.jpg,20170619,1729,2,,,,
c4.1,Loc1,c4.1_20170619_173000.jpg,20170619,1730,2,1,,1,
c4.1,Loc1,c4.1_20170619_173100.jpg,20170619,1731,2,,,,
c4.1,Loc1,c4.1_20170619_173200.jpg,20170619,1732,2,,,,
c4.1,Loc1,c4.1_20170619_173300.jpg,20170619,1733,2,,,,
c4.1,Loc1,c4.1_20170619_173400.jpg,20170619,1734,2,,,,
c4.1,Loc1,c4.1_20170619_173500.jpg,20170619,1735,2,,,,
c4.1,Loc1,c4.1_20170619_173600.jpg,20170619,1736,2,,,,
c4.1,Loc1,c4.1_20170619_173700.jpg,20170619,1737,2,,,,
c4.1,Loc1,c4.1_20170619_173800.jpg,20170619,1738,2,,,,
c4.1,Loc1,c4.1_20170619_173900.jpg,20170619,1739,2,,,,
c4.1,Loc1,c4.1_20170619_174000.jpg,20170619,1740,2,,,,
c4.1,Loc1,c4.1_20170619_174100.jpg,20170619,1741,2,1,,1,
c4.1,Loc1,c4.1_20170619_174200.jpg,20170619,1742,2,,,,
c4.1,Loc1,c4.1_20170619_174300.jpg,20170619,1743,2,,,,
c4.1,Loc1,c4.1_20170619_174400.jpg,20170619,1744,2,,,,
c4.1,Loc1,c4.1_20170619_174500.jpg,20170619,1745,2,,,,
c4.1,Loc1,c4.1_20170619_174600.jpg,20170619,1746,2,1,,1,
c4.1,Loc1,c4.1_20170619_174700.jpg,20170619,1747,2,,,,
c4.1,Loc1,c4.1_20170619_174800.jpg,20170619,1748,2,,,,
c4.1,Loc1,c4.1_20170619_174900.jpg,20170619,1749,2,,,,
c4.1,Loc1,c4.1_20170619_175000.jpg,20170619,1750,2,,,,
c4.1,Loc1,c4.1_20170619_175100.jpg,20170619,1751,2,,,,
c4.1,Loc1,c4.1_20170619_175200.jpg,20170619,1752,2,,,,
c4.1,Loc1,c4.1_20170619_175300.jpg,20170619,1753,2,,,,
c4.1,Loc1,c4.1_20170619_175400.jpg,20170619,1754,2,1,,7,
c4.1,Loc1,c4.1_20170619_175500.jpg,20170619,1755,2,1,,,
c4.1,Loc1,c4.1_20170619_175600.jpg,20170619,1756,2,1,,,
c4.1,Loc1,c4.1_20170619_175700.jpg,20170619,1757,2,1,,,
c4.1,Loc1,c4.1_20170619_175800.jpg,20170619,1758,2,1,,,
c4.1,Loc1,c4.1_20170619_175900.jpg,20170619,1759,2,1,,,
c4.1,Loc1,c4.1_20170619_180000.jpg,20170619,1800,2,1,,,
c4.1,Loc1,c4.1_20170619_180100.jpg,20170619,1801,2,,,,
c4.1,Loc1,c4.1_20170619_180200.jpg,20170619,1802,2,,,,
c4.1,Loc1,c4.1_20170619_180300.jpg,20170619,1803,2,1,,1,
c4.1,Loc1,c4.1_20170619_180400.jpg,20170619,1804,2,,,,
c4.1,Loc1,c4.1_20170619_180500.jpg,20170619,1805,2,,,,
c4.1,Loc1,c4.1_20170619_180600.jpg,20170619,1806,2,1,,12,
c4.1,Loc1,c4.1_20170619_180700.jpg,20170619,1807,2,1,,,
c4.1,Loc1,c4.1_20170619_180800.jpg,20170619,1808,2,1,,,
c4.1,Loc1,c4.1_20170619_180900.jpg,20170619,1809,2,1,,,
c4.1,Loc1,c4.1_20170619_181000.jpg,20170619,1810,2,1,,,
c4.1,Loc1,c4.1_20170619_181100.jpg,20170619,1811,2,1,,,
c4.1,Loc1,c4.1_20170619_181200.jpg,20170619,1812,2,1,,,
c4.1,Loc1,c4.1_20170619_181300.jpg,20170619,1813,2,1,,,
c4.1,Loc1,c4.1_20170619_181400.jpg,20170619,1814,2,1,,,
c4.1,Loc1,c4.1_20170619_181500.jpg,20170619,1815,2,1,,,
c4.1,Loc1,c4.1_20170619_181600.jpg,20170619,1816,2,1,,,
c4.1,Loc1,c4.1_20170619_181700.jpg,20170619,1817,2,1,,,
c4.1,Loc1,c4.1_20170619_181800.jpg,20170619,1818,2,,,,
c4.1,Loc1,c4.1_20170619_181900.jpg,20170619,1819,2,1,,1,
c4.1,Loc1,c4.1_20170619_182000.jpg,20170619,1820,2,,,,
c4.1,Loc1,c4.1_20170619_182100.jpg,20170619,1821,2,,,,
c4.1,Loc1,c4.1_20170619_182200.jpg,20170619,1822,2,,,,
c4.1,Loc1,c4.1_20170619_182300.jpg,20170619,1823,2,,,,
c4.1,Loc1,c4.1_20170619_182400.jpg,20170619,1824,2,1,,1,
c4.1,Loc1,c4.1_20170619_182500.jpg,20170619,1825,2,,,,
c4.1,Loc1,c4.1_20170619_182600.jpg,20170619,1826,2,,,,
c4.1,Loc1,c4.1_20170619_182700.jpg,20170619,1827,2,,,,
c4.1,Loc1,c4.1_20170619_182800.jpg,20170619,1828,2,,,,
c4.1,Loc1,c4.1_20170619_182900.jpg,20170619,1829,2,1,,1,
c4.1,Loc1,c4.1_20170619_183000.jpg,20170619,1830,2,,,,
c4.1,Loc1,c4.1_20170619_183100.jpg,20170619,1831,2,1,,3,
c4.1,Loc1,c4.1_20170619_183200.jpg,20170619,1832,2,1,,,
c4.1,Loc1,c4.1_20170619_183300.jpg,20170619,1833,2,1,,,
c4.1,Loc1,c4.1_20170619_183400.jpg,20170619,1834,2,,,,
c4.1,Loc1,c4.1_20170619_183500.jpg,20170619,1835,2,1,,1,
c4.1,Loc1,c4.1_20170619_183600.jpg,20170619,1836,2,,,,
c4.1,Loc1,c4.1_20170619_183700.jpg,20170619,1837,2,,,,
c4.1,Loc1,c4.1_20170619_183800.jpg,20170619,1838,2,,,,
c4.1,Loc1,c4.1_20170619_183900.jpg,20170619,1839,2,,,,
c4.1,Loc1,c4.1_20170619_184000.jpg,20170619,1840,2,,,,
c4.1,Loc1,c4.1_20170619_184100.jpg,20170619,1841,2,,,,
c4.1,Loc1,c4.1_20170619_184200.jpg,20170619,1842,2,,,,
c4.1,Loc1,c4.1_20170619_184300.jpg,20170619,1843,2,,,,
c4.1,Loc1,c4.1_20170619_184400.jpg,20170619,1844,2,,,,
c4.1,Loc1,c4.1_20170619_184500.jpg,20170619,1845,2,,,,
c4.1,Loc1,c4.1_20170619_184600.jpg,20170619,1846,2,,,,
c4.1,Loc1,c4.1_20170619_184700.jpg,20170619,1847,2,,,,
c4.1,Loc1,c4.1_20170619_184800.jpg,20170619,1848,2,,,,
c4.1,Loc1,c4.1_20170619_184900.jpg,20170619,1849,2,,,,
c4.1,Loc1,c4.1_20170619_185000.jpg,20170619,1850,2,,,,
c4.1,Loc1,c4.1_20170619_185100.jpg,20170619,1851,2,,,,
c4.1,Loc1,c4.1_20170619_185200.jpg,20170619,1852,2,,,,
c4.1,Loc1,c4.1_20170619_185300.jpg,20170619,1853,2,,,,
c4.1,Loc1,c4.1_20170619_185400.jpg,20170619,1854,2,,,,
c4.1,Loc1,c4.1_20170619_185500.jpg,20170619,1855,2,,,,
c4.1,Loc1,c4.1_20170619_185600.jpg,20170619,1856,2,,,,
c4.1,Loc1,c4.1_20170619_185700.jpg,20170619,1857,2,,,,
c4.1,Loc1,c4.1_20170619_185800.jpg,20170619,1858,2,,,,
c4.1,Loc1,c4.1_20170619_185900.jpg,20170619,1859,2,1,,7,
c4.1,Loc1,c4.1_20170619_190000.jpg,20170619,1900,2,1,,,
c4.1,Loc1,c4.1_20170619_190100.jpg,20170619,1901,2,1,,,
c4.1,Loc1,c4.1_20170619_190200.jpg,20170619,1902,2,1,,,
c4.1,Loc1,c4.1_20170619_190300.jpg,20170619,1903,2,1,,,
c4.1,Loc1,c4.1_20170619_190400.jpg,20170619,1904,2,1,,,
c4.1,Loc1,c4.1_20170619_190500.jpg,20170619,1905,2,1,,,
c4.1,Loc1,c4.1_20170619_190600.jpg,20170619,1906,2,,,,
c4.1,Loc1,c4.1_20170619_190700.jpg,20170619,1907,2,,,,
c4.1,Loc1,c4.1_20170619_190800.jpg,20170619,1908,2,,,,
c4.1,Loc1,c4.1_20170619_190900.jpg,20170619,1909,2,,,,
c4.1,Loc1,c4.1_20170619_191000.jpg,20170619,1910,2,,,,
c4.1,Loc1,c4.1_20170619_191100.jpg,20170619,1911,2,,,,
c4.1,Loc1,c4.1_20170619_191200.jpg,20170619,1912,2,,,,
c4.1,Loc1,c4.1_20170619_191300.jpg,20170619,1913,2,,,,
c4.1,Loc1,c4.1_20170619_191400.jpg,20170619,1914,2,,,,
c4.1,Loc1,c4.1_20170619_191500.jpg,20170619,1915,2,,,,
c4.1,Loc1,c4.1_20170619_191600.jpg,20170619,1916,2,,,,
c4.1,Loc1,c4.1_20170619_191700.jpg,20170619,1917,2,,,,
c4.1,Loc1,c4.1_20170619_191800.jpg,20170619,1918,2,,,,
c4.1,Loc1,c4.1_20170619_191900.jpg,20170619,1919,2,,,,
c4.1,Loc1,c4.1_20170619_192000.jpg,20170619,1920,2,,,,
c4.1,Loc1,c4.1_20170619_192100.jpg,20170619,1921,2,,,,
c4.1,Loc1,c4.1_20170619_192200.jpg,20170619,1922,2,,,,
c4.1,Loc1,c4.1_20170619_192300.jpg,20170619,1923,2,,,,
c4.1,Loc1,c4.1_20170619_192400.jpg,20170619,1924,2,,,,
c4.1,Loc1,c4.1_20170619_192500.jpg,20170619,1925,2,,,,
c4.1,Loc1,c4.1_20170619_192600.jpg,20170619,1926,2,,,,
c4.1,Loc1,c4.1_20170619_192700.jpg,20170619,1927,2,,,,
c4.1,Loc1,c4.1_20170619_192800.jpg,20170619,1928,2,,,,
c4.1,Loc1,c4.1_20170619_192900.jpg,20170619,1929,2,,,,
c4.1,Loc1,c4.1_20170619_193000.jpg,20170619,1930,2,,,,
c4.1,Loc1,c4.1_20170619_193100.jpg,20170619,1931,2,,,,
c4.1,Loc1,c4.1_20170619_193200.jpg,20170619,1932,2,,,,
c4.1,Loc1,c4.1_20170619_193300.jpg,20170619,1933,2,,,,
